ConductanceBubbleGraph 
t space sac/bip/ica g 
501 8.75 sac 1.30322
502 8.75 sac 1.18274
503 8.75 sac 1.0727
504 8.75 sac 0.972384
505 8.75 sac 0.881091
506 8.75 sac 0.798111
507 8.75 sac 0.722762
508 8.75 sac 0.654396
509 8.75 sac 0.592402
510 8.75 sac 0.536214
511 8.75 sac 0.485307
512 8.75 sac 0.439199
513 8.75 sac 0.397447
514 8.75 sac 0.359646
515 8.75 sac 0.325428
516 8.75 sac 0.294456
517 8.75 sac 0.266426
518 8.75 sac 0.24106
519 8.75 sac 0.218105
520 8.75 sac 0.197334
521 8.75 sac 0.178539
522 8.75 sac 0.161533
523 8.75 sac 0.146146
524 8.75 sac 0.132224
525 8.75 sac 0.119628
526 8.75 sac 0.108232
527 8.75 sac 0.0979207
528 8.75 sac 0.0885918
529 8.75 sac 0.0801516
530 8.75 sac 0.0725154
531 8.75 sac 0.0656066
532 8.75 sac 0.0593561
533 8.75 sac 0.053701
534 8.75 sac 0.0485847
535 8.75 sac 0.0439558
536 8.75 sac 0.0397679
537 8.75 sac 0.035979
538 8.75 sac 0.0325511
539 8.75 sac 0.0294498
540 8.75 sac 0.0266439
541 8.75 sac 0.0241054
542 8.75 sac 0.0218088
543 8.75 sac 0.0197309
544 8.75 sac 0.017851
545 8.75 sac 0.0161503
546 8.75 sac 0.0146115
547 8.75 sac 0.0132194
548 8.75 sac 0.0119599
549 8.75 sac 0.0108204
550 8.75 sac 0.0097895
551 8.75 sac 0.0088568
552 8.75 sac 0.00801296
553 8.75 sac 0.00724952
554 8.75 sac 0.00655882
555 8.75 sac 0.00593392
556 8.75 sac 0.00536856
557 8.75 sac 0.00485707
558 8.75 sac 0.0043943
559 8.75 sac 0.00397563
560 8.75 sac 0.00359685
561 8.75 sac 0.00325416
562 8.75 sac 0.00294412
563 8.75 sac 0.00266361
564 8.75 sac 0.00240983
565 8.75 sac 0.00218024
566 8.75 sac 0.00197251
567 8.75 sac 0.00178458
568 8.75 sac 0.00161455
569 8.75 sac 0.00146072
570 8.75 sac 0.00132155
571 8.75 sac 0.00119564
572 8.75 sac 0.00108172
573 8.75 sac 0.000978662
574 8.75 sac 0.000885419
575 8.75 sac 0.00080106
576 8.75 sac 0.000724738
577 8.75 sac 0.000655688
578 8.75 sac 0.000593217
579 8.75 sac 0.000536698
580 8.75 sac 0.000485563
581 8.75 sac 0.000439301
582 8.75 sac 0.000397446
583 8.75 sac 0.000359579
584 8.75 sac 0.00032532
585 8.75 sac 0.000294325
586 8.75 sac 0.000266283
587 8.75 sac 0.000240912
588 8.75 sac 0.000217959
589 8.75 sac 0.000197193
590 8.75 sac 0.000178405
591 8.75 sac 0.000161408
592 8.75 sac 0.000146029
593 8.75 sac 0.000132116
594 8.75 sac 0.000119529
595 8.75 sac 0.000108141
596 8.75 sac 9.78374e-05
597 8.75 sac 8.85158e-05
598 8.75 sac 8.00824e-05
599 8.75 sac 7.24525e-05
600 8.75 sac 6.55495e-05
601 8.75 sac 5.93042e-05
602 8.75 sac 5.3654e-05
603 8.75 sac 4.8542e-05
604 8.75 sac 4.39172e-05
605 8.75 sac 3.97329e-05
606 8.75 sac 3.59473e-05
607 8.75 sac 3.25224e-05
608 8.75 sac 2.94238e-05
609 8.75 sac 2.66204e-05
610 8.75 sac 2.40841e-05
611 8.75 sac 2.17895e-05
612 8.75 sac 1.97135e-05
613 8.75 sac 1.78353e-05
614 8.75 sac 1.6136e-05
615 8.75 sac 1.45986e-05
616 8.75 sac 1.32077e-05
617 8.75 sac 1.19494e-05
618 8.75 sac 1.08109e-05
619 8.75 sac 9.78085e-06
620 8.75 sac 8.84898e-06
621 8.75 sac 8.00588e-06
622 8.75 sac 7.24311e-06
623 8.75 sac 6.55302e-06
624 8.75 sac 5.92868e-06
625 8.75 sac 5.36382e-06
626 8.75 sac 4.85277e-06
627 8.75 sac 4.39042e-06
628 8.75 sac 3.97212e-06
629 8.75 sac 3.59367e-06
630 8.75 sac 3.25128e-06
631 8.75 sac 2.94151e-06
632 8.75 sac 2.66126e-06
633 8.75 sac 2.4077e-06
634 8.75 sac 2.17831e-06
635 8.75 sac 1.97077e-06
636 8.75 sac 1.783e-06
637 8.75 sac 1.61312e-06
638 8.75 sac 1.45943e-06
639 8.75 sac 1.32038e-06
640 8.75 sac 1.19458e-06
641 8.75 sac 1.08077e-06
642 8.75 sac 9.77797e-07
643 8.75 sac 8.84637e-07
644 8.75 sac 8.00352e-07
645 8.75 sac 7.24098e-07
646 8.75 sac 6.55109e-07
647 8.75 sac 5.92693e-07
648 8.75 sac 5.36224e-07
649 8.75 sac 4.85134e-07
650 8.75 sac 4.38913e-07
651 8.75 sac 3.97095e-07
652 8.75 sac 3.59261e-07
653 8.75 sac 3.25032e-07
654 8.75 sac 2.94065e-07
655 8.75 sac 2.66047e-07
656 8.75 sac 2.407e-07
657 8.75 sac 2.17767e-07
658 8.75 sac 1.97019e-07
659 8.75 sac 1.78248e-07
660 8.75 sac 1.61265e-07
661 8.75 sac 1.459e-07
662 8.75 sac 1.32e-07
663 8.75 sac 1.19423e-07
664 8.75 sac 1.08045e-07
665 8.75 sac 9.77509e-08
666 8.75 sac 8.84376e-08
667 8.75 sac 8.00116e-08
668 8.75 sac 7.23885e-08
669 8.75 sac 6.54916e-08
670 8.75 sac 5.92518e-08
671 8.75 sac 5.36066e-08
672 8.75 sac 4.84991e-08
673 8.75 sac 4.38783e-08
674 8.75 sac 3.96978e-08
675 8.75 sac 3.59156e-08
676 8.75 sac 3.24937e-08
677 8.75 sac 2.93978e-08
678 8.75 sac 2.65969e-08
679 8.75 sac 2.40629e-08
680 8.75 sac 2.17703e-08
681 8.75 sac 1.96961e-08
682 8.75 sac 1.78195e-08
683 8.75 sac 1.61217e-08
684 8.75 sac 1.45857e-08
685 8.75 sac 1.31961e-08
686 8.75 sac 1.19388e-08
687 8.75 sac 1.08013e-08
688 8.75 sac 9.77221e-09
689 8.75 sac 8.84115e-09
690 8.75 sac 7.99881e-09
691 8.75 sac 7.23671e-09
692 8.75 sac 6.54723e-09
693 8.75 sac 5.92344e-09
694 8.75 sac 5.35908e-09
695 8.75 sac 4.84848e-09
696 8.75 sac 4.38654e-09
697 8.75 sac 3.96861e-09
698 8.75 sac 3.5905e-09
699 8.75 sac 3.24841e-09
700 8.75 sac 2.93891e-09
701 8.75 sac 2.65891e-09
702 8.75 sac 2.40558e-09
703 8.75 sac 2.17638e-09
704 8.75 sac 1.96903e-09
705 8.75 sac 1.78143e-09
706 8.75 sac 1.6117e-09
707 8.75 sac 1.45814e-09
708 8.75 sac 1.31922e-09
709 8.75 sac 1.19353e-09
710 8.75 sac 1.07981e-09
711 8.75 sac 9.76933e-10
712 8.75 sac 8.83855e-10
713 8.75 sac 7.99645e-10
714 8.75 sac 7.23458e-10
715 8.75 sac 6.5453e-10
716 8.75 sac 5.92169e-10
717 8.75 sac 5.3575e-10
718 8.75 sac 4.84706e-10
719 8.75 sac 4.38525e-10
720 8.75 sac 3.96744e-10
721 8.75 sac 3.58944e-10
722 8.75 sac 3.24745e-10
723 8.75 sac 2.93805e-10
724 8.75 sac 2.65812e-10
725 8.75 sac 2.40487e-10
726 8.75 sac 2.17574e-10
727 8.75 sac 1.96845e-10
728 8.75 sac 1.7809e-10
729 8.75 sac 1.61122e-10
730 8.75 sac 1.45771e-10
731 8.75 sac 1.31883e-10
732 8.75 sac 1.19318e-10
733 8.75 sac 1.0795e-10
734 8.75 sac 9.76645e-11
735 8.75 sac 8.83595e-11
736 8.75 sac 7.99409e-11
737 8.75 sac 7.23245e-11
738 8.75 sac 6.54337e-11
739 8.75 sac 5.91995e-11
740 8.75 sac 5.35592e-11
741 8.75 sac 4.84563e-11
742 8.75 sac 4.38396e-11
743 8.75 sac 3.96627e-11
744 8.75 sac 3.58838e-11
745 8.75 sac 3.2465e-11
746 8.75 sac 2.93718e-11
747 8.75 sac 2.65734e-11
748 8.75 sac 2.40416e-11
749 8.75 sac 2.1751e-11
750 8.75 sac 1.96787e-11
751 8.75 sac 1.78038e-11
752 8.75 sac 1.61075e-11
753 8.75 sac 1.45728e-11
754 8.75 sac 1.31844e-11
755 8.75 sac 1.19282e-11
756 8.75 sac 1.07918e-11
477 17.5 sac 1.48358
478 17.5 sac 2.43432
479 17.5 sac 2.98381
480 17.5 sac 3.25866
481 17.5 sac 3.34826
482 17.5 sac 4.7991
483 17.5 sac 5.63878
484 17.5 sac 6.02953
485 17.5 sac 6.11907
486 17.5 sac 6.01118
487 17.5 sac 5.77842
488 17.5 sac 5.47113
489 17.5 sac 5.12392
490 17.5 sac 4.76027
491 17.5 sac 4.39585
492 17.5 sac 4.04079
493 17.5 sac 3.70143
494 17.5 sac 3.38142
495 17.5 sac 3.08261
496 17.5 sac 2.80562
497 17.5 sac 2.55028
498 17.5 sac 2.31585
499 17.5 sac 2.10133
500 17.5 sac 1.90551
501 17.5 sac 1.72709
502 17.5 sac 1.56479
503 17.5 sac 1.4173
504 17.5 sac 1.28342
505 17.5 sac 1.16196
506 17.5 sac 1.05184
507 17.5 sac 0.952048
508 17.5 sac 0.861642
509 17.5 sac 0.779763
510 17.5 sac 0.705625
511 17.5 sac 0.638506
512 17.5 sac 0.577751
513 17.5 sac 0.522762
514 17.5 sac 0.472995
515 17.5 sac 0.427959
516 17.5 sac 0.387206
517 17.5 sac 0.350329
518 17.5 sac 0.316962
519 17.5 sac 0.286771
520 17.5 sac 0.259454
521 17.5 sac 0.234738
522 17.5 sac 0.212376
523 17.5 sac 0.192144
524 17.5 sac 0.173838
525 17.5 sac 0.157277
526 17.5 sac 0.142293
527 17.5 sac 0.128736
528 17.5 sac 0.116471
529 17.5 sac 0.105375
530 17.5 sac 0.0953351
531 17.5 sac 0.0862521
532 17.5 sac 0.0780344
533 17.5 sac 0.0705997
534 17.5 sac 0.0638733
535 17.5 sac 0.0577878
536 17.5 sac 0.052282
537 17.5 sac 0.0473008
538 17.5 sac 0.0427942
539 17.5 sac 0.038717
540 17.5 sac 0.0350282
541 17.5 sac 0.0316908
542 17.5 sac 0.0286715
543 17.5 sac 0.0259398
544 17.5 sac 0.0234683
545 17.5 sac 0.0212324
546 17.5 sac 0.0192094
547 17.5 sac 0.0173792
548 17.5 sac 0.0157234
549 17.5 sac 0.0142254
550 17.5 sac 0.01287
551 17.5 sac 0.0116438
552 17.5 sac 0.0105344
553 17.5 sac 0.00953077
554 17.5 sac 0.00862272
555 17.5 sac 0.00780118
556 17.5 sac 0.00705792
557 17.5 sac 0.00638547
558 17.5 sac 0.00577709
559 17.5 sac 0.00522667
560 17.5 sac 0.00472869
561 17.5 sac 0.00427816
562 17.5 sac 0.00387056
563 17.5 sac 0.00350179
564 17.5 sac 0.00316815
565 17.5 sac 0.0028663
566 17.5 sac 0.00259321
567 17.5 sac 0.00234614
568 17.5 sac 0.00212261
569 17.5 sac 0.00192038
570 17.5 sac 0.00173741
571 17.5 sac 0.00157188
